FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000099	+3	-1	-1	-1	+3	+0	+24	-4	+2	-1	+0	+0	+0	+1	-2	+4	+0	-1	+0	-1	+0
OG0000101	-1	+0	+0	-4	+0	+0	+4	-1	+0	-4	+0	+0	+0	+0	+0	+0	-7	+12	+0	+0	+0
OG0000102	-2	+0	+0	+0	+1	-1	+4	-3	+0	-3	+2	+0	+0	-2	+2	-2	-8	+9	+0	+0	+0
OG0000103	+11	-2	-3	+2	-2	+1	+0	+0	+0	+0	-2	+0	+0	+0	+0	+0	+34	-6	-1	+2	+0
OG0000107	+0	+1	+1	+0	+1	+0	-2	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+1	+0	+1	+0
OG0000108	-3	+0	-2	+0	+1	-1	+2	-3	+0	+0	+0	+1	-1	+0	+3	+0	-5	+1	+0	-2	+0
OG0000109	-2	+0	-7	+6	+0	+0	+6	+0	+0	+0	-1	+0	+2	-1	-4	+1	+10	-5	+0	+1	+0
OG0000110	+0	+0	-6	+3	+2	+0	+3	-1	+2	-1	+0	+0	+1	+1	-1	+5	+0	-1	+0	-1	+0
OG0000111	+0	-1	+0	+0	+2	+0	-1	+3	+0	-3	-1	-1	+2	-1	-1	+1	-3	+4	+0	-1	+0
OG0000112	-1	+0	+1	-5	+1	+0	+4	+0	+0	-4	-1	+3	+1	-3	+1	-1	-5	+3	+0	+0	+0
OG0000114	+3	+0	-5	+2	-1	+1	+14	+0	+0	-1	+0	+0	+3	-1	-1	+1	-1	+3	+0	+0	+0
OG0000115	-1	+1	+0	-2	+2	+0	+2	+0	+0	-1	+0	-1	+0	+0	+0	+0	+0	+1	+0	+1	+0
OG0000116	+8	-1	-4	+7	-2	+1	+1	+0	+0	+0	+2	+0	+0	+0	+1	+0	-1	+0	+1	-2	+0
OG0000117	+0	+1	+1	+0	+1	+0	-1	+1	+3	-4	+0	+0	+0	+0	+1	+0	+0	+0	+1	-3	+0
OG0000118	+0	+0	-10	+7	+0	+0	+17	+0	+0	+0	+1	-4	+5	-5	+0	+0	+8	-5	+0	+0	+0
OG0000119	+0	-1	+0	+0	+12	+0	+3	-3	+1	-2	+0	+0	+0	+0	+0	+0	+0	-1	+0	-2	+0
OG0000120	-1	+2	-3	+0	+0	+1	+0	+0	+1	+0	+0	+0	+0	+2	-2	+4	-3	+0	+0	+0	+0
OG0000123	-4	+0	+3	-1	+2	+0	+3	+0	+0	-1	+0	+0	+2	-1	-1	+0	-2	+1	+0	-1	+0
OG0000124	+0	-3	+1	-1	+0	-2	+3	+0	+0	+0	+0	+0	+1	+0	+0	+1	-3	+2	+0	+0	+0
OG0000126	+2	-1	-3	+0	-1	+0	+4	-3	+0	+4	-1	+0	+0	+5	-1	+2	-1	+0	+1	-2	+0
OG0000127	-2	+0	+0	-4	+2	+0	+8	+0	+0	-3	+0	+0	+0	-3	+0	+0	-3	+0	+0	+0	+0
OG0000130	-1	+0	-1	+0	+2	+0	+3	-2	+0	-3	+2	+0	+0	+0	+3	+0	-3	+0	+0	-1	+0
OG0000131	+0	+0	+0	+0	-1	+1	-4	+0	+0	-1	+0	+0	+0	+1	+0	+0	+2	-1	-1	+1	+0
OG0000132	+3	+0	-6	+4	-2	+2	+0	+0	+0	+0	+0	+0	+0	+1	-1	+3	-3	+0	+0	-1	+0
OG0000136	+0	+1	-4	+1	-1	+0	+0	-1	+0	+1	-2	+1	+0	+0	+0	+0	-2	+0	+0	-2	+0
OG0000138	+0	+1	+0	-3	+1	+0	+1	-3	+0	-2	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0
OG0000139	+1	-2	+1	+0	+0	+0	+1	+0	+0	-1	-2	+0	+4	-3	+0	+1	-1	+2	+0	+1	+0
OG0000140	+0	-2	-4	+1	+2	+0	+17	-1	+0	-1	+0	-1	+3	+0	-1	+5	+0	-1	+0	-1	+0
OG0000143	-3	+0	+4	-1	+0	+0	+1	+1	+0	-2	+0	+0	+4	-1	-1	+0	-5	+8	+0	+1	+0
OG0000144	+0	+0	+0	+0	+2	+0	+3	-3	+0	-2	+3	+7	+0	+0	+18	-1	+0	-1	+0	-3	+0
OG0000145	+0	+1	-1	+3	+0	+0	+0	+1	+0	+0	+0	+0	+2	-2	-1	+0	-1	+2	+0	+0	+0
OG0000146	+0	+0	+0	+0	+2	+0	+2	-3	+0	+0	+0	+0	+0	+3	+0	+2	+0	-2	+0	+0	+0
OG0000147	+1	-1	-2	+0	+0	+0	+2	+0	-1	+6	-1	-1	+0	+1	-2	+0	+13	-4	-1	+1	+0
OG0000148	+0	-1	-5	+12	+0	-1	+2	+0	+0	-1	-1	+0	+2	-2	-2	+0	+0	+2	+0	+1	+0
OG0000149	-3	+0	-2	+0	+9	-2	+3	+0	+0	-1	+2	-1	+1	+0	+1	+0	-3	+0	+0	-2	+0
OG0000150	-2	+0	-1	+0	+0	+0	+5	+0	+0	-1	+0	+2	+0	-4	+0	+0	-7	+8	+0	+0	+0
OG0000153	-1	+0	+0	-2	+0	+0	+7	-1	+0	-1	+0	+2	+0	-4	+3	-1	-7	+10	+0	+0	+0
OG0000154	-1	+0	+0	+0	+0	+0	-5	+0	+0	+0	+0	+1	-1	+1	+1	-1	-3	+0	+0	+0	+0
OG0000155	+0	+2	+0	-1	+0	+0	+0	-1	+0	+1	-1	+0	-1	+2	-2	+0	+38	-6	-1	+2	+0
OG0000158	+0	+0	-2	+6	+0	+0	-2	+0	+3	-1	+0	-1	+0	+3	-2	+1	-1	+1	+0	+1	+0
OG0000161	+1	-1	+0	+0	+0	+0	+1	-2	+0	+0	+1	+0	+0	-1	+1	-1	-3	+6	+0	+0	+0
