FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000154	2	1	2	19	3	2	10	8	3	2	1	2	8	3	2	5	6	8	5	6	5
OG0000155	0	0	0	0	0	0	0	0	0	0	30	37	0	0	28	0	0	1	3	1	2
OG0000156	14	2	4	10	9	7	5	5	7	3	3	3	5	5	3	5	3	3	4	3	4
OG0000157	10	4	5	9	10	8	7	7	8	5	4	4	7	7	4	7	1	7	5	5	5
OG0000159	8	8	2	11	6	8	7	7	8	10	1	1	7	8	1	7	4	0	3	3	3
OG0000160	12	5	3	9	5	6	8	6	6	6	7	5	6	6	6	6	2	4	6	4	6
OG0000161	2	3	5	2	5	3	16	5	4	2	4	5	6	4	5	5	5	13	5	6	6
OG0000162	8	8	4	4	9	8	5	4	8	6	5	7	5	7	5	5	3	2	5	3	5
OG0000163	5	3	3	3	4	4	6	3	4	4	8	8	5	4	8	5	3	12	6	7	6
OG0000166	10	10	2	9	10	10	2	4	10	6	1	0	4	7	1	4	3	4	3	3	3
OG0000167	1	2	5	3	2	2	10	5	2	1	10	12	6	2	10	6	0	17	8	8	8
OG0000168	7	9	1	1	7	8	6	1	8	13	7	8	6	8	7	6	0	3	6	3	5
OG0000169	7	6	10	8	6	6	7	8	6	2	4	4	7	6	4	6	0	7	5	5	5
OG0000170	6	6	3	9	7	6	15	7	6	6	4	4	7	6	4	6	0	1	4	1	3
OG0000174	1	2	6	1	3	2	8	4	3	2	3	3	4	3	3	4	0	31	4	5	4
OG0000175	5	6	2	1	6	6	6	2	6	5	6	6	6	6	6	6	8	7	6	7	6
OG0000176	9	10	4	9	6	9	1	5	6	5	1	3	4	5	3	4	3	6	4	4	4
OG0000177	8	2	6	1	3	3	5	5	3	3	7	7	5	3	7	5	11	3	6	6	6
