#FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>	
OG0000025	3.27933e-10	0.0105313	2.05217e-24	1.78056e-07	1.22684e-06	0.10039	4.58442e-13	0.780844	0.656159	0.0623754	0.259523	0.259523	0.000883028	0.795906	0.0277048	8.77744e-08	0.00120592	0.706818	0.0983398	0.381316	N/A
OG0000029	0.225294	0.0923505	0.160046	0.719617	0.174319	0.646406	9.292e-08	0.145386	0.084231	0.437125	0.809566	0.809566	0.705899	0.207446	0.809873	0.759646	0.00482414	9.50113e-05	0.759646	0.840454	N/A
OG0000032	0.0923505	0.646406	0.0458879	0.321268	0.174319	0.646406	0.000806388	0.130349	0.646406	0.785248	0.476872	0.795703	0.321268	0.0852951	0.504373	0.759646	0.0263177	9.50113e-05	0.759646	0.840454	N/A
OG0000033	0.000212933	0.625417	0.188197	2.03528e-05	0.00436862	0.625417	5.96936e-07	0.743621	0.625417	3.11022e-10	0.163793	0.821325	0.054268	0.437125	0.821616	0.773236	2.03817e-08	1.31334e-09	0.773236	0.372815	N/A
OG0000034	0.00011243	2.59932e-09	0.135562	0.5898	3.94281e-06	0.705862	0.185579	0.000442411	1.25015e-12	0.0388807	0.759433	0.759433	0.269208	0.0584522	0.759782	0.144458	0.00966498	0.257962	0.70648	0.796194	N/A
OG0000038	0.00151869	0.576658	0.000883028	6.37073e-12	0.0231081	0.136254	2.50555e-14	0.743621	0.589777	8.58554e-05	0.144902	0.284657	0.00436862	0.00480826	0.809873	0.759646	3.72736e-05	9.50113e-05	0.759646	0.840454	N/A
OG0000039	0.108347	0.000662677	2.03528e-05	5.69674e-06	0.0110142	0.665453	0.323338	0.743621	0.10039	0.479407	0.318401	0.318401	0.743621	0.795906	0.00699184	4.82917e-05	3.10766e-06	0.0313118	0.726615	0.81415	N/A
OG0000040	0.516953	0.516953	1.81549e-17	3.26017e-11	0.562873	0.0495768	1.90111e-12	0.801829	9.16526e-07	0.70648	0.854266	0.134288	4.34761e-07	1.26257e-05	0.110418	0.795906	0.317082	0.317082	0.0119398	3.72736e-05	N/A
OG0000041	6.56734e-05	0.562856	5.75842e-05	0.130349	0.000108325	0.562856	0.0174941	0.69086	0.562856	0.00038529	0.0619029	0.0226323	0.69086	0.000279785	0.796026	0.744211	2.59961e-39	7.60319e-12	0.412576	0.10966	N/A
OG0000042	0.0677718	3.59726e-06	0.00070373	0.562873	3.81588e-09	0.614122	0.0174941	2.45255e-08	0.614122	2.45414e-11	0.251991	0.00139825	0.69086	0.744211	7.57318e-14	0.412576	0.657014	0.00711072	0.0584522	9.57511e-05	N/A
