#FamilyID	pvalue	Significant at 0.05
OG0000958	0.909	n
OG0000959	0.974	n
OG0000960	0.914	n
OG0000961	0.649	n
OG0000962	0.066	n
OG0000963	0.151	n
OG0000965	0.084	n
OG0000966	0.001	y
OG0000967	0.02	y
OG0000968	0.005	y
OG0000969	0.148	n
OG0000970	0.096	n
OG0000971	0	y
OG0000972	0.006	y
OG0000973	0.552	n
OG0000974	0.201	n
OG0000975	0.991	n
OG0000976	0.482	n
OG0000977	0.572	n
OG0000978	0.045	y
OG0000979	0.963	n
OG0000980	0.525	n
OG0000981	0.897	n
OG0000982	0.523	n
OG0000983	0.814	n
OG0000984	0.013	y
OG0000985	0.031	y
OG0000993	0	y
OG0000998	0	y
OG0000999	0.257	n
OG0001001	0.846	n
OG0001002	0.747	n
OG0001003	0.778	n
OG0001004	0.992	n
OG0001005	0.977	n
OG0001006	0.992	n
OG0001007	0.95	n
OG0001008	0.004	y
OG0001009	0.011	y
OG0001010	0.986	n
OG0001011	0.218	n
OG0001012	0.846	n
OG0001013	0.97	n
OG0001014	0.006	y
OG0001016	0.986	n
OG0001017	0.995	n
OG0001018	0.831	n
OG0001019	0.726	n
OG0001022	0.149	n
OG0001023	0.672	n
OG0001024	0.017	y
OG0001025	0.576	n
OG0001026	0.529	n
OG0001027	0.543	n
OG0001028	0.911	n
OG0001029	0.031	y
OG0001030	0.234	n
OG0001031	0.839	n
OG0001032	0.28	n
OG0001033	0.357	n
OG0001035	0.866	n
OG0001037	0.846	n
OG0001038	0.707	n
OG0001039	0.963	n
OG0001040	0.718	n
OG0001042	0.021	y
OG0001043	0.437	n
OG0001044	0.79	n
OG0001045	0.977	n
OG0001046	0.35	n
OG0001047	0.916	n
OG0001048	0.898	n
OG0001049	0.338	n
OG0001050	0.015	y
OG0001052	0	y
OG0001058	0	y
OG0001061	0	y
OG0001063	0.614	n
OG0001064	0.424	n
OG0001065	0.877	n
OG0001066	0.004	y
OG0001067	0.994	n
OG0001068	0.225	n
OG0001069	0.747	n
OG0001070	0.079	n
OG0001071	0.504	n
OG0001074	0.185	n
OG0001075	0.005	y
OG0001076	0.803	n
OG0001077	0.78	n
OG0001078	0.922	n
OG0001079	0.72	n
OG0001080	0.266	n
OG0001081	0.185	n
OG0001082	0.015	y
OG0001083	0.922	n
OG0001084	0.986	n
OG0001085	0.977	n
OG0001086	0.999	n
OG0001087	0.986	n
OG0001088	0.862	n
