#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000168	1.96187	6.17563e-20	6.17563e-20	1	*
OG0000169	0.0381341	2.28697e-39	2.06765e-17	1.10607e-22	N/S
OG0000169	1.96187	2.06765e-17	2.06765e-17	1	*
OG0000170	0.0381341	8.47881e-49	2.45911e-19	3.44792e-30	N/S
OG0000170	1.96187	2.45911e-19	2.45911e-19	1	*
OG0000174	0.0381341	2.52778e-100	1.1589e-34	2.18119e-66	N/S
OG0000174	1.96187	1.1589e-34	1.1589e-34	1	*
OG0000175	0.0381341	7.36913e-22	3.22775e-13	2.28306e-09	N/S
OG0000175	1.96187	3.22775e-13	3.22775e-13	1	*
OG0000176	0.0381341	4.63899e-46	2.41369e-19	1.92194e-27	N/S
OG0000176	1.96187	2.41369e-19	2.41369e-19	1	*
OG0000177	0.0381341	3.50971e-52	1.12766e-22	3.11238e-30	N/S
OG0000177	1.96187	1.12766e-22	1.12766e-22	1	*
OG0000178	0.0381341	1.93655e-57	1.83442e-21	1.05568e-36	N/S
OG0000178	1.96187	1.83442e-21	1.83442e-21	1	*
OG0000179	0.0381341	9.01788e-92	8.25303e-32	1.09268e-60	N/S
OG0000179	1.96187	8.25303e-32	8.25303e-32	1	*
OG0000180	0.0381341	2.02417e-47	1.07481e-20	1.88329e-27	N/S
OG0000180	1.96187	1.07481e-20	1.07481e-20	1	*
OG0000181	0.0381341	2.46607e-25	2.51055e-13	9.82282e-13	N/S
OG0000181	1.96187	2.51055e-13	2.51055e-13	1	*
OG0000182	0.0381341	1.35456e-127	7.10319e-46	1.90698e-82	N/S
OG0000182	1.96187	7.10319e-46	7.10319e-46	1	*
OG0000183	0.0381341	6.00945e-25	1.64909e-12	3.64409e-13	N/S
OG0000183	1.96187	1.64909e-12	1.64909e-12	1	*
OG0000184	0.0381341	3.39774e-88	6.09619e-34	5.57354e-55	N/S
OG0000184	1.96187	6.09619e-34	6.09619e-34	1	*
OG0000186	0.0381341	3.32365e-82	8.9926e-32	3.69599e-51	N/S
OG0000186	1.96187	8.9926e-32	8.9926e-32	1	*
OG0000187	0.0381341	4.39199e-28	4.13615e-15	1.06185e-13	N/S
OG0000187	1.96187	4.13615e-15	4.13615e-15	1	*
OG0000188	0.0381341	5.76599e-57	1.15331e-23	4.99951e-34	N/S
OG0000188	1.96187	1.15331e-23	1.15331e-23	1	*
OG0000190	0.0381341	5.29098e-83	2.35719e-28	2.24461e-55	N/S
OG0000190	1.96187	2.35719e-28	2.35719e-28	1	*
OG0000191	0.0381341	1.92139e-98	5.41446e-41	3.54863e-58	N/S
OG0000191	1.96187	5.41446e-41	5.41446e-41	1	*
OG0000192	0.0381341	3.38353e-70	3.83501e-25	8.82273e-46	N/S
OG0000192	1.96187	3.83501e-25	3.83501e-25	1	*
OG0000193	0.0381341	5.48141e-50	5.64075e-22	9.71752e-29	N/S
OG0000193	1.96187	5.64075e-22	5.64075e-22	1	*
OG0000194	0.0381341	1.31318e-23	4.51632e-12	2.90763e-12	N/S
OG0000194	1.96187	4.51632e-12	4.51632e-12	1	*
OG0000195	0.0381341	4.14334e-102	5.68786e-37	7.28455e-66	N/S
OG0000195	1.96187	5.68786e-37	5.68786e-37	1	*
OG0000197	0.0381341	1.47629e-71	3.56449e-30	4.14166e-42	N/S
OG0000197	1.96187	3.56449e-30	3.56449e-30	1	*
OG0000198	0.0381341	1.75857e-24	1.19676e-12	1.46945e-12	N/S
OG0000198	1.96187	1.19676e-12	1.19676e-12	1	*
OG0000199	0.0381341	1.26383e-27	1.20846e-14	1.04581e-13	N/S
OG0000199	1.96187	1.20846e-14	1.20846e-14	1	*
OG0000200	0.0381341	3.39456e-08	3.61915e-08	0.937946	N/S
OG0000200	1.96187	2.24583e-09	3.61915e-08	0.0620541	N/S
OG0000201	0.0381341	1.95401e-49	2.9303e-20	6.66831e-30	N/S
OG0000201	1.96187	2.9303e-20	2.9303e-20	1	*
OG0000203	0.0381341	1.37297e-49	7.43303e-21	1.84712e-29	N/S
OG0000203	1.96187	7.43303e-21	7.43303e-21	1	*
OG0000204	0.0381341	6.92504e-53	1.22476e-21	5.65419e-32	N/S
OG0000204	1.96187	1.22476e-21	1.22476e-21	1	*
OG0000205	0.0381341	6.7188e-33	1.30569e-15	5.14579e-18	N/S
OG0000205	1.96187	1.30569e-15	1.30569e-15	1	*
OG0000207	0.0381341	9.35189e-41	1.36333e-18	6.85957e-23	N/S
OG0000207	1.96187	1.36333e-18	1.36333e-18	1	*
OG0000208	0.0381341	9.77561e-33	3.13974e-14	3.11351e-19	N/S
OG0000208	1.96187	3.13974e-14	3.13974e-14	1	*
OG0000209	0.0381341	1.02162e-15	3.3588e-11	3.04163e-05	N/S
OG0000209	1.96187	3.3587e-11	3.3588e-11	0.99997	*
OG0000210	0.0381341	1.09828e-31	5.49115e-15	2.00009e-17	N/S
OG0000210	1.96187	5.49115e-15	5.49115e-15	1	*
OG0000211	0.0381341	1.31437e-43	6.13441e-18	2.14261e-26	N/S
OG0000211	1.96187	6.13441e-18	6.13441e-18	1	*
OG0000212	0.0381341	1.55314e-21	8.16068e-12	1.9032e-10	N/S
OG0000212	1.96187	8.16068e-12	8.16068e-12	1	*
OG0000213	0.0381341	3.62661e-45	1.67612e-19	2.16369e-26	N/S
OG0000213	1.96187	1.67612e-19	1.67612e-19	1	*
OG0000214	0.0381341	2.32047e-25	6.50644e-14	3.56642e-12	N/S
OG0000214	1.96187	6.50644e-14	6.50644e-14	1	*
OG0000217	0.0381341	1.03389e-18	7.8175e-12	1.32254e-07	N/S
OG0000217	1.96187	7.8175e-12	7.8175e-12	1	*
OG0000219	0.0381341	2.0898e-29	3.27613e-14	6.37889e-16	N/S
OG0000219	1.96187	3.27613e-14	3.27613e-14	1	*
OG0000220	0.0381341	2.21868e-28	5.44721e-15	4.07306e-14	N/S
OG0000220	1.96187	5.44721e-15	5.44721e-15	1	*
OG0000223	0.0381341	3.17685e-86	6.12921e-32	5.18313e-55	N/S
OG0000223	1.96187	6.12921e-32	6.12921e-32	1	*
OG0000224	0.0381341	5.1998e-62	4.37969e-29	1.18725e-33	N/S
OG0000224	1.96187	4.37969e-29	4.37969e-29	1	*
OG0000225	0.0381341	1.02507e-32	8.25165e-15	1.24227e-18	N/S
OG0000225	1.96187	8.25165e-15	8.25165e-15	1	*
OG0000226	0.0381341	1.47738e-29	7.74913e-14	1.90651e-16	N/S
OG0000226	1.96187	7.74913e-14	7.74913e-14	1	*
OG0000227	0.0381341	1.76552e-66	3.96275e-27	4.45528e-40	N/S
OG0000227	1.96187	3.96275e-27	3.96275e-27	1	*
OG0000228	0.0381341	3.49512e-83	7.47421e-33	4.67624e-51	N/S
OG0000228	1.96187	7.47421e-33	7.47421e-33	1	*
OG0000230	0.0381341	1.21056e-56	1.46137e-23	8.28373e-34	N/S
OG0000230	1.96187	1.46137e-23	1.46137e-23	1	*
OG0000231	0.0381341	6.33538e-20	1.72915e-11	3.66386e-09	N/S
OG0000231	1.96187	1.72915e-11	1.72915e-11	1	*
OG0000233	0.0381341	6.42278e-50	1.41234e-21	4.54762e-29	N/S
OG0000233	1.96187	1.41234e-21	1.41234e-21	1	*
OG0000234	0.0381341	6.75852e-47	3.38566e-19	1.99622e-28	N/S
OG0000234	1.96187	3.38566e-19	3.38566e-19	1	*
OG0000237	0.0381341	6.13724e-116	7.60593e-39	8.06902e-78	N/S
OG0000237	1.96187	7.60593e-39	7.60593e-39	1	*
OG0000238	0.0381341	3.44321e-31	3.65843e-15	9.4117e-17	N/S
OG0000238	1.96187	3.65843e-15	3.65843e-15	1	*
OG0000240	0.0381341	1.72078e-35	4.94703e-15	3.47841e-21	N/S
OG0000240	1.96187	4.94703e-15	4.94703e-15	1	*
OG0000241	0.0381341	4.95879e-22	1.34572e-11	3.68486e-11	N/S
OG0000241	1.96187	1.34572e-11	1.34572e-11	1	*
OG0000243	0.0381341	2.02888e-65	2.3882e-25	8.49544e-41	N/S
OG0000243	1.96187	2.3882e-25	2.3882e-25	1	*
OG0000247	0.0381341	5.94639e-53	4.4022e-23	1.35078e-30	N/S
OG0000247	1.96187	4.4022e-23	4.4022e-23	1	*
