FamilyID,PX439<0>,PX356<1>,CBRIG<2>,CNIGO<3>,PX506<4>,<5>,CSINI<6>,<7>,<8>,CLATE<9>,JU1373<10>,NIC58<11>,<12>,<13>,<14>,<15>,CINOP<16>,CELEG<17>,<18>,<19>,<20>
OG0002250,0,0,-1,15,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0
OG0002472,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,-1,0,9,-2,0,1,0
OG0002475,0,0,-3,0,0,0,9,0,0,0,0,0,2,-1,-1,0,-1,0,0,0,0
OG0002479,0,0,-1,1,0,0,-1,0,0,0,0,0,0,-1,-1,0,14,-2,-1,0,0
OG0002833,0,0,-1,1,0,0,-1,0,0,0,0,0,0,-1,-1,0,8,-2,0,1,0
OG0003361,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,12,-2,-1,0,0
OG0004523,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,12,-2,-1,0,0
OG0007310,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,11,-2,-1,0,0
OG0011950,0,0,0,0,0,0,1,-1,0,0,0,0,0,-1,-1,0,9,-2,0,1,0
OG0013607,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,8,-1,0,0,0
OG0014593,0,0,0,0,0,0,2,-1,0,0,0,0,0,-1,-1,0,7,-1,0,0,0
OG0000000,-3,0,-1,3,8,-2,-13,1,0,1,-3,0,-3,4,-2,0,0,1,-2,4,0
OG0000002,-14,8,-2,0,1,0,3,0,0,-3,2,-1,0,0,1,0,-10,10,0,0,0
OG0000004,5,-2,-14,26,-1,0,5,0,0,-1,-1,1,6,-6,-1,0,62,-9,1,2,0
OG0000006,0,1,-8,2,-5,0,4,-1,0,6,-1,1,0,0,0,3,-4,0,1,-4,0
OG0000007,1,-11,0,0,18,0,4,-12,1,-6,2,7,-1,0,21,-1,-6,0,2,-5,0
OG0000010,18,-10,-2,0,13,1,2,-3,12,-8,0,3,0,1,1,0,0,-1,2,-4,0
OG0000011,-3,6,-2,4,0,1,-1,0,0,2,-1,-1,0,4,-3,2,-6,7,0,0,0
OG0000014,1,-1,-1,-1,1,0,6,-2,0,0,-1,0,0,0,-2,1,-6,5,0,0,0
OG0000015,-11,1,-14,5,18,-1,7,0,1,-3,0,-2,1,1,-5,2,-13,15,0,0,0
OG0000018,-10,2,-1,1,0,0,1,1,-1,1,0,0,1,0,0,1,-7,5,0,-1,0
OG0000022,0,1,-9,2,3,0,1,-1,3,-1,0,0,0,5,-4,9,-4,0,0,0,0
OG0000029,-1,1,1,0,1,0,-7,1,1,-1,0,0,0,1,0,0,-4,7,0,0,0
OG0000032,1,0,2,-1,1,0,-4,1,0,0,-1,0,-1,2,-1,0,-3,7,0,0,0
OG0000033,-3,0,1,-5,3,0,9,0,0,-8,-2,0,2,-1,0,0,-9,14,0,1,0
OG0000034,-4,8,-1,0,7,0,1,-3,9,-2,0,0,-1,2,0,1,-3,1,0,0,0
OG0000038,-2,0,4,-9,2,-1,17,0,0,-4,-2,1,3,-3,0,0,-6,7,0,0,0
OG0000039,1,-3,-5,6,3,0,1,0,1,-1,-1,-1,0,0,-3,5,-6,3,0,0,0
OG0000040,0,0,-14,12,0,-1,17,0,-4,0,0,2,7,-6,2,0,-1,-1,3,-6,0
OG0000041,3,0,-4,1,-3,0,3,0,0,-3,-2,3,0,-4,0,0,47,-11,-1,2,0
OG0000042,1,-4,-2,0,8,0,3,-6,0,-8,2,7,0,0,16,-1,0,-2,2,-5,0
OG0000043,0,0,-1,2,0,0,2,0,0,0,-1,0,3,0,-1,7,0,-1,0,-2,0
OG0000046,0,0,-1,1,-2,0,-3,0,0,1,0,0,0,1,-1,0,9,-2,-1,1,0
OG0000047,0,-2,-1,4,5,-6,1,1,0,-1,0,0,4,-3,0,0,-10,2,0,-1,0
OG0000049,5,0,-9,33,-2,4,1,1,0,-5,0,-1,3,-1,-5,1,0,1,0,0,0
OG0000051,1,0,-2,2,0,1,-1,0,3,0,0,0,0,11,-1,2,-1,0,0,-2,0
