Desc	Family	JU1373	NIC58	PX356	PX439	PX506	CLATE	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000251	5	5	4	4	4	4	4	3	11	3	3
null	OG0000252	3	4	2	2	4	2	4	13	4	2	11
null	OG0000253	5	5	6	6	2	2	5	5	7	4	0
null	OG0000254	4	4	2	1	4	1	3	4	0	12	11
null	OG0000255	6	6	4	4	5	3	9	6	1	11	1
null	OG0000256	4	6	6	7	6	2	3	0	0	5	9
null	OG0000257	0	1	0	0	0	0	7	0	45	5	1
null	OG0000258	5	5	4	4	7	2	5	9	0	5	6
null	OG0000259	4	4	9	8	10	8	3	1	1	4	1
null	OG0000260	4	2	5	5	4	2	3	0	0	12	13
null	OG0000261	2	3	4	3	10	3	5	3	0	3	4
null	OG0000262	0	0	4	3	25	1	0	0	0	0	0
null	OG0000263	0	0	0	0	0	0	0	1	60	0	0
null	OG0000264	10	10	1	7	0	0	0	0	0	9	9
null	OG0000265	27	32	0	0	0	0	0	0	1	0	0
null	OG0000266	2	1	6	6	9	5	3	2	3	3	5
null	OG0000267	5	4	3	5	6	4	4	9	1	4	5
null	OG0000268	0	0	9	17	11	6	0	0	0	0	3
null	OG0000269	0	0	0	0	0	1	0	0	0	58	1
null	OG0000270	0	0	0	0	0	0	1	0	56	1	0
null	OG0000271	0	0	0	0	0	0	0	1	9	10	4
null	OG0000272	2	2	7	8	9	7	3	1	0	5	1
null	OG0000273	4	4	5	7	6	8	3	2	2	4	2
null	OG0000274	3	4	4	5	5	5	3	5	0	8	9
null	OG0000275	5	5	5	5	6	6	8	3	3	7	2
null	OG0000276	3	3	1	5	9	0	2	1	24	1	4
null	OG0000277	0	0	1	0	0	0	6	0	0	51	1
null	OG0000278	2	3	5	6	5	4	4	1	0	17	4
null	OG0000279	1	1	7	8	4	3	2	0	0	8	7
null	OG0000280	3	3	6	7	4	6	4	5	5	5	1
null	OG0000281	2	2	3	1	3	3	7	8	5	7	6
null	OG0000282	2	1	7	4	5	2	9	4	0	6	7
null	OG0000283	2	2	2	1	17	4	0	0	0	0	6
null	OG0000284	28	28	0	0	0	0	0	0	0	1	1
null	OG0000285	3	3	4	4	3	2	8	5	2	8	5
null	OG0000286	0	0	7	5	4	3	0	4	1	17	7
null	OG0000287	13	12	1	0	1	1	5	5	0	9	6
null	OG0000288	27	29	0	0	0	0	0	1	0	0	0
null	OG0000289	7	6	4	4	3	4	4	4	3	4	4
null	OG0000290	2	3	5	5	5	2	4	6	1	6	5
null	OG0000291	5	5	3	2	6	4	5	6	1	5	6
null	OG0000292	3	2	3	1	4	2	3	2	18	3	9
null	OG0000293	0	0	1	11	19	8	0	0	0	0	1
null	OG0000294	0	0	3	2	2	3	1	23	0	1	18
null	OG0000295	0	0	8	4	9	10	1	0	0	6	7
null	OG0000296	0	0	4	1	18	0	0	0	0	0	14
null	OG0000297	0	0	0	0	0	0	0	0	57	0	0
null	OG0000298	2	4	5	7	11	3	1	3	1	4	3
null	OG0000299	2	2	5	7	5	6	2	2	0	5	5
null	OG0000300	1	3	3	4	4	4	5	1	2	7	8
null	OG0000301	3	3	4	0	4	5	4	4	1	5	6
null	OG0000302	0	0	0	0	0	0	0	0	56	0	0
null	OG0000303	51	1	2	1	0	0	0	0	0	0	0
null	OG0000304	5	2	3	11	5	6	0	0	0	10	4
null	OG0000305	8	7	5	6	6	5	2	3	0	2	3
null	OG0000306	5	5	2	3	4	3	8	5	1	6	6
null	OG0000307	4	4	0	6	3	0	2	2	3	3	10
null	OG0000308	1	1	2	2	4	3	5	11	1	5	6
null	OG0000309	10	5	0	7	0	1	0	0	0	1	6
null	OG0000310	4	4	5	5	5	5	5	0	2	6	7
null	OG0000311	3	3	4	3	3	2	6	3	4	6	7
null	OG0000312	0	0	10	0	14	9	2	0	0	2	6
null	OG0000313	0	0	2	1	2	1	6	1	0	11	28
null	OG0000314	1	1	12	8	7	7	0	0	0	0	7
null	OG0000315	3	3	2	2	3	2	3	4	6	3	9
null	OG0000316	6	7	1	0	4	0	4	9	0	2	5
null	OG0000317	2	2	3	2	4	5	7	3	1	6	11
null	OG0000318	1	1	2	4	6	2	1	1	1	1	3
null	OG0000319	0	0	4	11	18	10	0	0	0	0	0
null	OG0000320	0	0	0	0	0	0	7	0	0	35	12
null	OG0000321	0	0	0	0	0	0	1	0	46	0	0
