Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000163	3	5	4	8	8	4	12	3	12	3	3	6
null	OG0000164	0	0	1	0	0	8	0	0	0	0	0	0
null	OG0000166	10	10	6	1	0	10	4	2	4	3	9	2
null	OG0000167	2	1	1	10	12	2	8	5	17	0	3	10
null	OG0000168	9	7	13	7	8	7	2	1	3	0	1	6
null	OG0000169	6	7	2	4	4	6	6	10	7	0	8	7
null	OG0000170	6	6	6	4	4	7	5	3	1	0	9	15
null	OG0000171	9	7	9	0	0	2	2	0	0	0	5	16
null	OG0000172	4	12	10	8	8	7	3	0	0	0	8	6
null	OG0000174	2	1	2	3	3	3	9	6	31	0	1	8
null	OG0000175	6	5	5	6	6	6	9	2	7	8	1	6
null	OG0000176	10	9	5	1	3	6	3	4	6	3	9	1
null	OG0000177	2	8	3	7	7	3	5	6	3	11	1	5
null	OG0000178	3	2	2	3	4	4	7	9	11	0	7	13
null	OG0000179	1	2	0	25	29	3	3	0	0	2	0	6
null	OG0000180	11	10	6	1	1	11	4	0	0	1	6	6
null	OG0000181	5	6	5	6	5	7	7	5	8	1	5	6
null	OG0000182	4	4	3	1	43	2	2	0	0	3	4	1
null	OG0000183	8	7	6	4	4	6	6	4	9	3	5	4
null	OG0000184	3	7	21	4	4	10	7	6	0	1	0	0
null	OG0000185	4	11	2	0	0	7	3	1	0	0	1	30
null	OG0000186	3	2	1	5	4	2	5	0	0	17	12	6
null	OG0000187	6	2	6	3	4	6	9	6	4	2	8	7
null	OG0000188	5	4	2	2	2	2	15	1	0	5	11	8
null	OG0000189	9	9	11	3	3	8	0	5	0	0	9	5
null	OG0000190	1	1	1	9	13	1	4	0	0	15	2	11
null	OG0000191	2	14	3	0	0	1	13	0	2	0	6	17
null	OG0000192	5	6	5	0	0	7	2	5	0	1	10	22
null	OG0000193	2	4	2	2	5	10	8	0	1	7	2	3
null	OG0000194	4	4	4	5	5	4	7	5	3	11	6	4
null	OG0000195	0	0	0	2	2	1	16	0	0	18	10	14
null	OG0000196	0	0	0	0	0	0	0	1	0	0	68	0
null	OG0000197	7	5	0	4	2	6	1	2	7	2	17	4
null	OG0000198	4	4	4	6	5	5	13	8	3	0	6	6
null	OG0000199	3	3	5	6	6	7	6	6	7	1	6	7
null	OG0000200	5	5	5	5	5	5	5	5	6	7	5	6
null	OG0000201	2	2	2	3	3	2	8	11	5	4	20	4
null	OG0000202	3	1	2	1	0	10	9	7	0	0	5	13
null	OG0000203	11	14	14	0	0	13	0	0	1	0	0	1
null	OG0000204	8	3	5	3	0	6	4	5	10	1	8	7
null	OG0000205	5	3	2	7	7	5	3	5	6	1	6	8
null	OG0000206	9	3	6	0	0	11	0	1	0	0	17	5
null	OG0000207	5	5	5	8	9	5	3	1	9	0	6	6
null	OG0000208	9	10	6	2	3	9	1	5	1	1	7	3
null	OG0000209	4	5	6	5	5	5	4	6	7	7	5	3
null	OG0000210	7	5	5	2	4	6	3	5	6	3	2	8
null	OG0000211	5	4	6	2	2	4	10	5	1	1	14	8
null	OG0000212	5	5	5	3	3	5	12	4	2	3	5	10
null	OG0000213	6	4	6	6	5	8	5	4	10	1	5	0
null	OG0000214	5	2	3	7	7	6	9	4	5	3	4	5
null	OG0000215	12	13	3	0	0	13	9	0	0	0	0	3
null	OG0000216	6	5	5	0	0	5	6	4	0	0	11	21
null	OG0000217	7	6	4	4	4	5	6	5	5	2	3	4
null	OG0000218	6	5	3	4	2	4	5	3	0	0	12	15
null	OG0000219	4	3	1	6	5	3	10	6	6	2	7	8
null	OG0000220	6	4	8	5	5	5	6	3	4	1	7	5
null	OG0000221	5	5	3	0	0	15	0	0	0	0	0	0
null	OG0000222	9	10	9	0	0	23	0	0	0	0	0	0
null	OG0000223	1	4	1	3	3	1	8	1	0	28	4	4
null	OG0000224	4	15	6	0	2	6	4	0	3	3	7	6
null	OG0000225	7	5	4	3	3	9	4	6	1	0	7	7
null	OG0000226	9	7	7	5	4	6	1	4	1	1	7	7
null	OG0000227	5	5	5	1	6	15	3	1	0	1	9	5
null	OG0000228	2	1	1	2	2	4	10	2	0	2	3	29
null	OG0000229	7	7	1	1	2	9	14	2	0	0	7	4
null	OG0000230	2	1	1	5	4	6	4	1	8	1	7	8
null	OG0000231	7	6	6	4	4	7	4	4	3	3	3	7
null	OG0000232	13	6	8	0	1	13	0	0	0	0	5	5
null	OG0000233	12	4	7	1	1	10	3	2	2	0	4	4
null	OG0000234	12	8	8	1	1	14	1	1	1	3	1	1
null	OG0000235	2	10	0	0	0	15	20	1	0	0	0	2
null	OG0000236	0	0	0	30	34	0	0	0	0	0	0	0
null	OG0000237	0	0	0	1	3	0	7	1	37	0	0	8
null	OG0000238	4	1	2	3	3	3	8	8	8	5	7	7
null	OG0000239	1	0	0	0	0	1	0	7	0	0	52	1
null	OG0000240	7	8	5	7	6	8	1	2	1	1	3	8
null	OG0000241	4	4	4	5	5	4	5	4	3	11	4	3
null	OG0000242	2	3	0	12	12	1	17	2	0	0	2	10
